syn_id,pre_id,post_id,prop
750,152,243,1.0
752,142,236,0.40080563947633435
752,142,244,0.5991943605236657
753,242,142,1.0
754,242,142,0.6451953537486801
754,242,243,0.35480464625131997
755,142,143,0.06513026052104208
755,142,242,0.42084168336673344
755,142,243,0.5140280561122245
756,143,241,0.6143724696356275
756,143,244,0.3856275303643725
759,241,142,0.6361809045226131
759,241,143,0.36381909547738694
762,159,166,1.0
764,227,139,0.32831325301204817
764,227,164,0.19176706827309237
764,227,172,0.21184738955823293
764,227,187,0.2680722891566265
766,188,173,1.0
767,189,172,0.4064711830131446
767,189,175,0.5197168857431749
767,189,181,0.07381193124368049
770,143,173,0.2247983870967742
770,143,174,0.7752016129032258
772,173,174,1.0
773,201,175,0.1584754262788365
773,201,187,0.8415245737211635
774,199,174,0.2968197879858657
774,199,180,0.6289752650176679
774,199,186,0.07420494699646643
776,192,184,0.07309644670050762
776,192,206,0.9269035532994924
778,196,163,0.1423611111111111
778,196,205,0.38078703703703703
778,196,206,0.47685185185185186
781,89,151,0.7202868852459017
781,89,244,0.2797131147540984
782,152,243,1.0
783,143,142,0.32560483870967744
783,143,244,0.6743951612903226
784,142,236,0.39271255060728744
784,142,244,0.6072874493927125
785,142,242,1.0
786,142,242,1.0
787,143,241,0.7464503042596349
787,143,244,0.2535496957403651
788,241,143,1.0
789,242,142,1.0
792,189,172,1.0
793,189,172,1.0
794,142,143,0.127
794,142,166,0.79
794,142,187,0.083
796,143,173,0.6424242424242425
796,143,174,0.3575757575757576
798,172,136,0.7073921971252567
798,172,194,0.2926078028747433
799,199,180,0.330603889457523
799,199,192,0.6693961105424769
800,181,168,0.41033434650455924
800,181,185,0.2077001013171226
800,181,204,0.3819655521783181
801,163,101,0.14678899082568808
801,163,206,0.8532110091743119
802,197,145,0.9255102040816326
802,197,217,0.07448979591836735
803,143,244,1.0
804,242,142,1.0
805,142,242,0.985985985985986
805,142,243,0.014014014014014014
806,143,142,0.5438066465256798
806,143,243,0.4561933534743202
807,142,242,0.738
807,142,243,0.262
808,143,237,0.024489795918367346
808,143,241,0.1826530612244898
808,143,242,0.2
808,143,244,0.5928571428571429
809,187,139,0.10131712259371833
809,187,172,0.646403242147923
809,187,174,0.0182370820668693
809,187,175,0.04559270516717325
809,187,227,0.1884498480243161
810,228,173,1.0
